model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|H2,share,0.4410666206040315,0.0388499614768675
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|NatGas,share,0.244651660266618,0.7724576409499
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|Oil,share,0.3142817191293504,0.1886923975732323
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Coal,share,0.0339199969181118,0.0313523825597004
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CombinedCycle,share,0.1463374961688247,0.0287039479686369
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|GasTurbine,share,0.1406281534513672,0.179315421478274
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CogenerationGas,share,0.0771079912519348,0.0087376514661509
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Nuclear,share,0.0411740858532001,0.0028133772566471
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Oil,share,0.0583018768512883,0.0359656557165469
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Geothermal,share,0.045562043885311,0.0105253189963679
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroRunofRiver,share,0.0007785233624788,0.0062046869890004
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroReservoir,share,0.0140838712218042,0.1500300714657597
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biomass,share,0.0133405240117149,0.0084223423945252
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biogas,share,0.0969519423390352,0.0013280874717735
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOnshore,share,0.0427786977488404,0.1427923920076057
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOffshore,share,0.0671484749739796,0.0058422557452113
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarThermal,share,0.0284719270134929,0.2215149292823607
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarPVOpen,share,0.0702397962012068,0.0170676942742162
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Hydrogen,share,0.0349033472944424,0.1106918949997033
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|BatteryHydro,share,0.0322225921219098,0.0197985563152161
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBG,share,0.029162766795619,0.0088735296753606
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSK,share,0.0167741596622404,0.0088334925368242
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBE,share,0.010111732873197,0.0011863114001181
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsTR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|TransformationHVMV,share,0.4714166557333079,0.3160621089850595
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|SolarPVRoofCommercial,share,0.2784838700342556,0.3892237571512575
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|Waste,share,0.2500994742324365,0.2947141338636829
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|TransformationMVLV,share,0.4362075135291419,0.6680942771605723
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|BatteryChemical,share,0.1871188120502512,0.0834537382045923
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|SolarPVRoofResidential,share,0.3766736744206069,0.2484519846348353
image,SSP2-Base,Business As Usual,ES,Share|Methane|Membrane,share,0.2480611670192952,0.1601863602479471
image,SSP2-Base,Business As Usual,ES,Share|Methane|AminoWashing,share,0.393219282820629,0.5579323972677688
image,SSP2-Base,Business As Usual,ES,Share|Methane|AmineScrubbing,share,0.056390478219018,0.1755095505883297
image,SSP2-Base,Business As Usual,ES,Share|Methane|Swing,share,0.0767484708411879,0.0025191229989031
image,SSP2-Base,Business As Usual,ES,Share|Methane|SabatierBiological,share,0.2107837073089502,0.0449706789791641
image,SSP2-Base,Business As Usual,ES,Share|Methane|SabatierElectrochemical,share,0.0147968937909195,0.0588818899178869
image,SSP2-Base,Business As Usual,ES,Share|Methane|FossilOnshore,share,0.2,0.2
image,SSP2-Base,Business As Usual,ES,Share|Methane|FossilOffshore,share,0.1,0.1
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportQA,share,0.06,0.06
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportNO,share,0.15,0.15
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportBE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportLY,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportRU,share,0.2,0.2
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportDZ,share,0.06,0.06
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportNL,share,0.1,0.1
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportTR,share,0.02,0.02
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportUS,share,0.08,0.08
image,SSP2-Base,Business As Usual,ES,Share|Methane|ImportNG,share,0.03,0.03
