model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,RER,Share|Methane|SabatierElectrochemical,share,0.0147968937909195,0.0588818899178869
image,SSP2-Base,Business As Usual,RER,Share|CO2|DAC|Solvent,share,0.4557961145087363,0.0552447403780832
image,SSP2-Base,Business As Usual,RER,Share|CO2|DAC|Sorbent,share,0.1530331650948312,0.0293474354337694
image,SSP2-Base,Business As Usual,RER,Share|CO2|Cement|Direct,share,0.0145866283353706,0.4917375068778468
image,SSP2-Base,Business As Usual,RER,Share|CO2|Cement|Oxyfuel,share,0.1709370707356674,0.2041248461273727
image,SSP2-Base,Business As Usual,RER,Share|CO2|Cement|Monoethanolamine,share,0.2056470213253945,0.2195454711829278
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|H2,share,0.4410666206040315,0.0388499614768675
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|NatGas,share,0.244651660266618,0.7724576409499
image,SSP2-Base,Business As Usual,RER,Share|LubricatingOil|Oil,share,0.3142817191293504,0.1886923975732323
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Coal,share,0.0339199969181118,0.0313523825597004
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CombinedCycle,share,0.1463374961688247,0.0287039479686369
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|GasTurbine,share,0.1406281534513672,0.179315421478274
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|CogenerationGas,share,0.0771079912519348,0.0087376514661509
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Nuclear,share,0.0411740858532001,0.0028133772566471
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Oil,share,0.0583018768512883,0.0359656557165469
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Geothermal,share,0.045562043885311,0.0105253189963679
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroRunofRiver,share,0.0007785233624788,0.0062046869890004
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|HydroReservoir,share,0.0140838712218042,0.1500300714657597
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biomass,share,0.0133405240117149,0.0084223423945252
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Biogas,share,0.0969519423390352,0.0013280874717735
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOnshore,share,0.0427786977488404,0.1427923920076057
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|WindOffshore,share,0.0671484749739796,0.0058422557452113
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarThermal,share,0.0284719270134929,0.2215149292823607
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|SolarPVOpen,share,0.0702397962012068,0.0170676942742162
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|Hydrogen,share,0.0349033472944424,0.1106918949997033
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|BatteryHydro,share,0.0322225921219098,0.0197985563152161
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBG,share,0.029162766795619,0.0088735296753606
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSK,share,0.0167741596622404,0.0088334925368242
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBE,share,0.010111732873197,0.0011863114001181
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|TransformationHVMV,share,0.4714166557333079,0.3160621089850595
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|SolarPVRoofCommercial,share,0.2784838700342556,0.3892237571512575
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|Waste,share,0.2500994742324365,0.2947141338636829
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|TransformationMVLV,share,0.4362075135291419,0.6680942771605723
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|BatteryChemical,share,0.1871188120502512,0.0834537382045923
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|SolarPVRoofResidential,share,0.3766736744206069,0.2484519846348353
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Coal,share,0.019283383588468,0.0407228991895799
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CombinedCycle,share,0.02022824446384,0.0772040369851669
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|GasTurbine,share,0.0956238004821944,0.075898136414714
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CogenerationGas,share,0.0205916871884943,0.0351390653504906
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Nuclear,share,0.0363410619995211,0.0204154889240748
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Oil,share,0.0013716665044777,0.0700309956817705
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Geothermal,share,0.1138893132585347,0.0097698171156442
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroRunofRiver,share,0.0602934292651261,0.0067946878029396
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroReservoir,share,0.025131906476784,0.0519263653623696
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biomass,share,0.0183216190469217,0.0682835788326385
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biogas,share,0.0474270514443967,0.0515438514240801
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|WindOnshore,share,0.077173348582411,0.0572075658600822
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|WindOffshore,share,0.1151474754553252,0.0672139454547312
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|SolarThermal,share,0.0585379034595392,0.1349520358086083
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|SolarPVOpen,share,0.0288291911861031,0.0836303166409456
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Hydrogen,share,0.0667304266058954,0.0813881311535693
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|BatteryHydro,share,0.0563522106392572,0.0480564536826188
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMK,share,0.0094585613986477,0.0100347108480744
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGB,share,0.0871967395325839,0.005438366950405
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsDK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsPT,share,0.0420709794214776,0.0043495505174956
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|TransformationHVMV,share,0.3602030214543824,0.0729555946699585
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|SolarPVRoofCommercial,share,0.2420993944214573,0.825686290572332
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|Waste,share,0.3976975841241603,0.1013581147577094
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|TransformationMVLV,share,0.2929177656391638,0.8900901818043848
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|BatteryChemical,share,0.4147358039930569,0.0073125033362103
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|SolarPVRoofResidential,share,0.2923464303677794,0.1025973148594047
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Coal,share,0.0211578174542123,0.0046667146933348
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CombinedCycle,share,0.0981344338112139,0.0089447170357409
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|GasTurbine,share,0.0802785522635947,0.0313505775082337
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CogenerationGas,share,0.0390462135618739,0.08565800938183
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Nuclear,share,0.1032244013840244,0.019162702905124
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Oil,share,0.0796354144949168,0.0162594330771201
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Geothermal,share,0.0418950820121335,0.0293401832248491
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroRunofRiver,share,0.0049262388342671,0.0521964837828775
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroReservoir,share,0.0206879420514997,0.024449464167847
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biomass,share,0.0345148981523125,0.0956145273104667
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biogas,share,0.128006289666831,0.0991779900886856
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOnshore,share,0.044210493508313,0.0313487797455947
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOffshore,share,0.042815864631168,0.1774736760264711
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarThermal,share,0.05253742021037,0.0389808581794376
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarPVOpen,share,0.0232482957065256,0.0962862064300723
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Hydrogen,share,0.0151193165323937,0.0507774749291895
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|BatteryHydro,share,0.1017791134545664,0.0498493760995459
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMK,share,0.0192323507023582,0.0179760966237953
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBE,share,0.0039767349220299,0.0110844899207041
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDK,share,0.0455731266453944,0.0594022388690791
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|TransformationHVMV,share,0.1032007372272001,0.5403998614743715
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|SolarPVRoofCommercial,share,0.2335749803863505,0.2975713504346
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|Waste,share,0.6632242823864494,0.1620287880910286
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|TransformationMVLV,share,0.3348978331863276,0.3768264225240167
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|BatteryChemical,share,0.4700239049400454,0.333799556171219
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|SolarPVRoofResidential,share,0.1950782618736269,0.2893740213047643
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Coal,share,0.0277051563481389,0.0125049388300177
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CombinedCycle,share,0.0016061394055011,0.0673082994754499
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|GasTurbine,share,0.1297966019562174,0.0794977710678198
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CogenerationGas,share,0.0161080549515385,0.120519848613508
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Nuclear,share,0.020567742632252,0.0159047754310882
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Oil,share,0.0607724277647411,0.014980001204226
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Geothermal,share,0.0624940403092742,0.0351624788045004
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroRunofRiver,share,0.0280866317003907,0.0359775955026624
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroReservoir,share,0.0358391114229163,0.011188292812755
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biomass,share,0.0558164824141277,0.0812623583658798
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biogas,share,0.0168440232387211,0.0740023126616256
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|WindOnshore,share,0.1562452857978212,0.2216317668401977
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|WindOffshore,share,0.0124969261603124,0.0302504302461765
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|SolarThermal,share,0.0318190767623702,0.0107478773510532
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|SolarPVOpen,share,0.0234633915360189,0.0135952432156173
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Hydrogen,share,0.0451954705660487,0.0602274867546431
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|BatteryHydro,share,0.1495360826818483,0.016410193519294
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsBA,share,0.1103239301359557,0.0748884058569133
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsSK,share,0.0,0.0
