model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAL,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRS,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFI,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBG,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDK,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIT,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSI,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSE,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLV,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMK,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCZ,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsUA,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDE,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsES,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGR,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLT,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsTR,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLU,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBY,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMD,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsEE,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCH,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBA,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPL,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAT,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNO,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSK,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHR,share,0,0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBE,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsNL,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsHU,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsPT,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsMT,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsRU,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsIE,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsRO,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsME,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsAL,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsRS,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsFI,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsBG,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsDK,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsIT,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsSI,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsSE,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsLV,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsMK,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsCZ,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsUA,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsGR,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsLT,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsTR,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsLU,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsBY,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsMD,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsEE,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsFR,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsCH,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsBA,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsPL,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsAT,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsMA,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsNO,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsSK,share,0,0
image,SSP2-Base,Business As Usual,FR,Share|ElectricityHV|ImportsHR,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsNL,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsHU,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsGB,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsPT,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsMT,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsRU,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsIE,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsRO,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsME,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsAL,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsRS,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsFI,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsBG,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsDK,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsSI,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsSE,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsLV,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsMK,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsCZ,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsUA,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsES,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsGR,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsLT,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsTR,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsLU,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsBY,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsMD,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsEE,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsCH,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsBA,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsPL,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsMA,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsNO,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsSK,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsHR,share,0,0
image,SSP2-Base,Business As Usual,CH,Share|ElectricityHV|ImportsBE,share,0,0
